YIL;TUR;SAYI
2004;Otomobil Sayısı;387776
2004;Motosiklet;77937
2004;Kamyonet;107342
2004;Traktör;43630
2004;Kamyon;30641
2004;Otobüs;12974
2004;Minibüs;12785
2004;Özel Amaçlı;1055
2005;Otomobil Sayısı;409397
2005;Motosiklet;95690
2005;Kamyonet;121889
2005;Traktör;44757
2005;Kamyon;31835
2005;Otobüs;13578
2005;Minibüs;13718
2005;Özel Amaçlı;1131
2006;Otomobil Sayısı;434863
2006;Motosiklet;128278
2006;Kamyonet;137544
2006;Traktör;46741
2006;Kamyon;34660
2006;Otobüs;14077
2006;Minibüs;14600
2006;Özel Amaçlı;1363
2007;Otomobil Sayısı;457791
2007;Motosiklet;142296
2007;Kamyonet;150132
2007;Traktör;47934
2007;Kamyon;36511
2007;Otobüs;14487
2007;Minibüs;15357
2007;Özel Amaçlı;1564
2008;Otomobil Sayısı;477763
2008;Motosiklet;155136
2008;Kamyonet;159841
2008;Traktör;48804
2008;Kamyon;37217
2008;Otobüs;14653
2008;Minibüs;15734
2008;Özel Amaçlı;1564
2009;Otomobil Sayısı;485152
2009;Motosiklet;163744
2009;Kamyonet;164470
2009;Traktör;47903
2009;Kamyon;35510
2009;Otobüs;14121
2009;Minibüs;15387
2009;Özel Amaçlı;1612
2010;Otomobil Sayısı;509117
2010;Motosiklet;172716
2010;Kamyonet;172686
2010;Traktör;49340
2010;Kamyon;35816
2010;Otobüs;14114
2010;Minibüs;15783
2010;Özel Amaçlı;1794
2011;Otomobil Sayısı;536626
2011;Motosiklet;185902
2011;Kamyonet;178533
2011;Traktör;51685
2011;Kamyon;35715
2011;Otobüs;13913
2011;Minibüs;15944
2011;Özel Amaçlı;1752
2012;Otomobil Sayısı;558819
2012;Motosiklet;198189
2012;Kamyonet;184485
2012;Traktör;53170
2012;Kamyon;36370
2012;Otobüs;13916
2012;Minibüs;16378
2012;Özel Amaçlı;1619
2013;Otomobil Sayısı;586571
2013;Motosiklet;207177
2013;Kamyonet;187264
2013;Traktör;54369
2013;Kamyon;36097
2013;Otobüs;14068
2013;Minibüs;15895
2013;Özel Amaçlı;1735
2014;Otomobil Sayısı;612020
2014;Motosiklet;217945
2014;Kamyonet;190684
2014;Traktör;56368
2014;Kamyon;36538
2014;Otobüs;13602
2014;Minibüs;15301
2014;Özel Amaçlı;1972
2015;Otomobil Sayısı;651076
2015;Motosiklet;228846
2015;Kamyonet;200783
2015;Traktör;58926
2015;Kamyon;38236
2015;Otobüs;13894
2015;Minibüs;15443
2015;Özel Amaçlı;2584
2016;Otomobil Sayısı;694464
2016;Motosiklet;236461
2016;Kamyonet;211025
2016;Traktör;61301
2016;Kamyon;39615
2016;Otobüs;14615
2016;Minibüs;15954
2016;Özel Amaçlı;2912
2017;Otomobil Sayısı;739809
2017;Motosiklet;246089
2017;Kamyonet;223571
2017;Traktör;63934
2017;Kamyon;40996
2017;Otobüs;15153
2017;Minibüs;16016
2017;Özel Amaçlı;3360
2018;Otomobil Sayısı;765657
2018;Motosiklet;256296
2018;Kamyonet;230812
2018;Traktör;65865
2018;Kamyon;41655
2018;Otobüs;15622
2018;Minibüs;15700
2018;Özel Amaçlı;3552
2019;Otomobil Sayısı;781191
2019;Motosiklet;265249
2019;Kamyonet;234650
2019;Traktör;66974
2019;Kamyon;42022
2019;Otobüs;16258
2019;Minibüs;15229
2019;Özel Amaçlı;3729
2020;Otomobil Sayısı;822172
2020;Motosiklet;278601
2020;Kamyonet;245805
2020;Traktör;69201
2020;Kamyon;43103
2020;Otobüs;17063
2020;Minibüs;15105
2020;Özel Amaçlı;4032
2021;Otomobil Sayısı;863140
2021;Motosiklet;296737
2021;Kamyonet;259232
2021;Traktör;72128
2021;Kamyon;44893
2021;Otobüs;17478
2021;Minibüs;14905
2021;Özel Amaçlı;4700
2022;Otomobil Sayısı;897864
2022;Motosiklet;323500
2022;Kamyonet;269702
2022;Traktör;75322
2022;Kamyon;46493
2022;Otobüs;14595
2022;Minibüs;17825
2022;Özel Amaçlı;5345
